,bardguilt,question,rating,scenario,start,stop,uid
236,true,22,94.0,19,2021-02-20 00:58:34,2021-02-20 00:58:58,A1U8RH67FLZW87
237,true,23,74.0,8,2021-02-20 00:58:58,2021-02-20 00:59:16,A1U8RH67FLZW87
238,true,24,100.0,3,2021-02-20 00:59:17,2021-02-20 00:59:33,A1U8RH67FLZW87
239,true,25,94.0,6,2021-02-20 00:59:34,2021-02-20 01:00:16,A1U8RH67FLZW87
240,true,26,65.0,25,2021-02-20 01:00:17,2021-02-20 01:00:45,A1U8RH67FLZW87
241,true,27,99.0,9,2021-02-20 01:00:46,2021-02-20 01:01:13,A1U8RH67FLZW87
242,true,28,67.0,16,2021-02-20 01:01:25,2021-02-20 01:01:59,A1U8RH67FLZW87
243,true,29,94.0,14,2021-02-20 01:02:00,2021-02-20 01:02:17,A1U8RH67FLZW87
244,true,30,98.0,10,2021-02-20 01:02:18,2021-02-20 01:02:38,A1U8RH67FLZW87
245,true,0,0.0,30,2021-02-20 04:12:42,2021-02-20 04:13:04,A2CY1TSQ3KKP5Q
246,true,1,0.0,9,2021-02-20 04:13:05,2021-02-20 04:13:26,A2CY1TSQ3KKP5Q
247,true,2,0.0,15,2021-02-20 04:13:36,2021-02-20 04:13:49,A2CY1TSQ3KKP5Q
248,true,3,0.0,23,2021-02-20 04:13:50,2021-02-20 04:14:21,A2CY1TSQ3KKP5Q
249,true,4,0.0,3,2021-02-20 04:14:22,2021-02-20 04:14:54,A2CY1TSQ3KKP5Q
250,true,5,0.0,11,2021-02-20 04:14:54,2021-02-20 04:15:13,A2CY1TSQ3KKP5Q
251,false,6,0.0,14,2021-02-20 04:15:14,2021-02-20 04:15:37,A2CY1TSQ3KKP5Q
252,true,7,0.0,19,2021-02-20 04:15:48,2021-02-20 04:16:10,A2CY1TSQ3KKP5Q
253,true,8,0.0,22,2021-02-20 04:16:11,2021-02-20 04:16:34,A2CY1TSQ3KKP5Q
254,true,9,0.0,12,2021-02-20 04:16:36,2021-02-20 04:16:49,A2CY1TSQ3KKP5Q
255,true,10,0.0,18,2021-02-20 04:16:50,2021-02-20 04:17:24,A2CY1TSQ3KKP5Q
256,true,0,90.0,15,2021-02-20 04:16:52,2021-02-20 04:17:42,A13FTIHWW9GE8X
257,true,11,0.0,29,2021-02-20 04:17:31,2021-02-20 04:17:56,A2CY1TSQ3KKP5Q
258,false,12,0.0,28,2021-02-20 04:17:56,2021-02-20 04:18:12,A2CY1TSQ3KKP5Q
259,true,1,94.0,7,2021-02-20 04:17:43,2021-02-20 04:18:32,A13FTIHWW9GE8X
260,true,13,0.0,17,2021-02-20 04:18:13,2021-02-20 04:18:34,A2CY1TSQ3KKP5Q
261,true,14,0.0,21,2021-02-20 04:18:35,2021-02-20 04:19:09,A2CY1TSQ3KKP5Q
262,true,15,0.0,6,2021-02-20 04:19:09,2021-02-20 04:19:32,A2CY1TSQ3KKP5Q
263,true,2,97.0,6,2021-02-20 04:18:48,2021-02-20 04:19:34,A13FTIHWW9GE8X
264,false,16,0.0,25,2021-02-20 04:19:33,2021-02-20 04:19:49,A2CY1TSQ3KKP5Q
265,true,3,98.0,28,2021-02-20 04:19:35,2021-02-20 04:20:09,A13FTIHWW9GE8X
266,true,17,0.0,13,2021-02-20 04:19:58,2021-02-20 04:20:15,A2CY1TSQ3KKP5Q
